Script,Target,Model,R2_train,R2_test,MSE_test
2.5D with validation.py,DeltaW_BGA,ANN,0.6203643150544668,-2.961983405083713,0.0073102427936556
2.5D with validation.py,DeltaW_BGA,CatBoost,0.9391932505397882,0.321090034362863,0.0012526545864558
2.5D with validation.py,DeltaW_bump,ANN,0.96011456818463,0.0807495183901724,0.0271026853821769
2.5D with validation.py,DeltaW_bump,CatBoost,0.9540487283544432,0.5028468728875848,0.0146577946495026
2.5D with validation.py,ELK stress,ANN,0.9973455201646328,0.9526757435438156,0.2303866008627625
2.5D with validation.py,ELK stress,CatBoost,0.9987049139025392,0.9886204304639796,0.0553986589754987
2.5D with validation.py,Warpage Post UF cure,ANN,-0.26944171576655,-8.817240169177639,0.0029167139545895
2.5D with validation.py,Warpage Post UF cure,CatBoost,0.9969253034731422,0.980617986100262,5.758419824229532e-06
2.5D with validation.py,Warpage post lid atach,ANN,0.3821668182000344,-1.3536118803004795,0.0058864055995582
2.5D with validation.py,Warpage post lid atach,CatBoost,0.8311537967827496,0.0903613583121974,0.002275014856452
fcbga_full_codesign_pipeline.py,ELK stress,ANN,0.9422215983016006,0.8720627335047202,0.622831379903677
fcbga_full_codesign_pipeline.py,ELK stress,CatBoost,0.998399223260611,0.9851455422716748,0.0723153046653144
fcbga_full_codesign_pipeline.py,Warpage Post UF cure,ANN,-3.3338562594452927,-10.743168709866074,0.0034889096586128
fcbga_full_codesign_pipeline.py,Warpage Post UF cure,CatBoost,0.9971057415789124,0.9795958881818388,6.062086354766399e-06
fcbga_full_codesign_pipeline.py,Warpage post lid attach,ANN,-0.5910458851136788,-2.7160919855422887,0.0092939812444255
fcbga_full_codesign_pipeline.py,Warpage post lid attach,CatBoost,0.829055585327572,0.1372983970297836,0.002157624878161
fcbga_full_codesign_pipeline.py,DeltaW_BGA,ANN,0.1376108391137216,-1.642578135696735,0.0048758123894113
fcbga_full_codesign_pipeline.py,DeltaW_BGA,CatBoost,0.9390446091646716,0.1997795039939051,0.001476484254517
fcbga_full_codesign_pipeline.py,DeltaW_bump,ANN,0.7690216721935268,0.1723697808459489,0.0244014029812988
fcbga_full_codesign_pipeline.py,DeltaW_bump,CatBoost,0.9452857103439573,0.4761397687810802,0.0154452125019251
