Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,Design_ID,BGA solder material,DeltaW_BGA,DeltaW_bump
0.25,0.06,0.4,9e-06,2.5e-05,9,2.0,SAC205,5.97951660095962,-0.08585425092314826,0.0477372417226432,1,SAC205,0.0014623069728259006,0.10263793915510203
0.25,0.02,0.4,6e-06,3e-05,9,2.0,SAC305,8.81123779236491,-0.08814831671770655,0.03689140843925995,2,SAC205,0.0141814530361444,0.23771640410025902
0.75,0.02,1.2,6e-06,2.5e-05,6,1.0,SAC305,10.9201016811309,-0.029055235208943403,0.031726342625916,3,SAC205,0.0858888849616043,0.33918127417564403
0.5,0.02,0.4,3e-06,3e-05,3,1.0,SAC305,9.03203748964324,-0.06340338851441625,0.0586506640538573,4,SAC405,0.0019535019346221807,0.28096111118793493
0.5,0.06,0.8,6e-06,2.5e-05,9,2.0,SAC205,6.51334383004475,-0.045091301202774006,0.10083902254700661,5,SAC405,0.011556263314560004,0.46158027648925803
0.25,0.06,1.2,9e-06,2e-05,9,1.5,SAC305,7.73222640768078,-0.032511005396372604,0.022404713468858944,6,SAC305,0.0010345463524572495,0.854602307081216
0.5,0.06,1.2,9e-06,3e-05,6,2.0,SAC105,4.7132414416359,-0.03258172812638795,0.03367041627643627,7,SAC205,0.09195914119482029,0.678340256214134
0.75,0.02,1.2,9e-06,3e-05,6,2.0,SAC305,10.2561106752416,-0.034774855943396674,0.0819334965199231,8,SAC305,0.0045508184994105996,0.244348213076591
0.5,0.06,1.2,9e-06,2.5e-05,3,1.5,SAC405,8.7071355025372,-0.03529130306560539,0.019832793506793615,9,SAC305,0.005894678295589999,0.305632943908374
0.75,0.04,0.4,9e-06,3e-05,6,1.5,SAC305,12.0875067178695,-0.06120402383385217,0.04260405083186917,10,SAC105,0.004692542141128729,0.31267333775758704
0.25,0.06,0.8,3e-06,3e-05,9,2.0,SAC205,7.001044578207,-0.032726139586884494,0.02376157464459537,11,SAC405,0.014325906464364296,0.06107587367296301
0.5,0.04,0.4,9e-06,2.5e-05,3,2.0,SAC205,8.49496463372,-0.07627698051510376,0.039462454995373215,12,SAC405,0.094348416663706,0.58718907833099
0.5,0.02,1.2,3e-06,2e-05,9,2.0,SAC305,11.5902604343704,-0.02409306052140891,0.12311689183115951,13,SAC105,0.0192988515773323,0.521414101123801
0.5,0.02,0.4,9e-06,2e-05,3,1.5,SAC205,8.32833352316442,-0.07162562033045099,0.020393141778185943,14,SAC405,0.026044458732940305,0.14818073809146898
0.75,0.02,0.4,6e-06,2.5e-05,6,1.0,SAC105,7.54959810424968,-0.0428591478266753,0.048943717032670905,15,SAC205,0.008193607704015398,0.138847600668669
0.75,0.04,0.4,3e-06,2.5e-05,9,2.0,SAC105,7.5172544671905,-0.044357453065458664,0.0731691345572471,16,SAC405,0.011787708848714797,0.29986245930194805
0.5,0.06,1.2,9e-06,2.5e-05,9,2.0,SAC405,8.70713927888653,-0.03948064841097213,0.02412490773713213,17,SAC405,0.0415241420269013,0.407129645347595
0.5,0.06,0.4,3e-06,3e-05,9,1.5,SAC405,8.03432957401536,-0.06195005992776705,0.0821589967235922,18,SAC305,0.0015049606972752406,0.16251440346240997
0.5,0.02,0.4,6e-06,2.5e-05,6,1.5,SAC105,5.79413621148124,-0.05129616029444148,0.0520152803510426,19,SAC205,0.026624455116689302,0.10395647957921003
0.5,0.06,0.4,9e-06,2e-05,6,1.0,SAC105,5.28315550839533,-0.07083224810776298,0.050928000069689006,20,SAC305,0.0058292362082284,0.286538980901241
