Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE,ANN_Layers,ANN_Alpha,ANN_LR,ANN_CV_R2
Assembly,ELK stress,ANN,0.9453991123296279,0.8985502326835754,0.26040071797502556,0.49388345006516876,"(64, 32)",0.001,0.001,0.9194040127794925
Assembly,ELK stress,CatBoost,0.998399223260611,0.9851455422716747,0.0076343706126374405,0.0723153046653144,,,,
Assembly,Warpage Post UF cure,ANN,0.9763421986996869,0.9492649421675043,8.294441399252571e-06,1.5073447182391185e-05,"(64, 32)",0.001,0.001,0.9470515721917392
Assembly,Warpage Post UF cure,CatBoost,0.9971057415789125,0.9795958881818388,1.014728992067657e-06,6.062086354766399e-06,,,,
Assembly,Warpage post lid attach,ANN,0.2338497079591787,0.09521803659837713,0.0012715753587232476,0.002262868258069255,"(32, 16)",0.0001,0.001,0.026107650904826828
Assembly,Warpage post lid attach,CatBoost,0.829055585327572,0.13729839702978364,0.00028371548985488954,0.002157624878161078,,,,
SJR,DeltaW_BGA,ANN,0.3135302675803966,0.19841444536284902,0.001220468958700829,0.0014790029197916151,"(64, 32)",0.01,0.001,0.09412803648537955
SJR,DeltaW_BGA,CatBoost,0.9390446091646715,0.1997795039939051,0.00010837209401465951,0.0014764842545170987,,,,
SJR,DeltaW_bump,ANN,0.5350248032803226,0.46848928753994357,0.019064222953935006,0.01567077516438652,"(64, 32)",0.01,0.001,0.5651233944435807
SJR,DeltaW_bump,CatBoost,0.9452857103439571,0.4761397687810802,0.002243314103908713,0.015445212501925189,,,,
