Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Cu-pillar bump solder material
45,0.004073570016771555,0.04989640787243843,94.875,1,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
116,0.004073570016771555,0.04989640787243843,94.875,2,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
185,0.004073570016771555,0.04989640787243843,94.875,3,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
226,0.004073570016771555,0.04989640787243843,94.875,4,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
243,0.004073570016771555,0.04989640787243843,94.875,5,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
456,0.004073570016771555,0.04989640787243843,94.875,6,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
5,0.004073570016771555,0.04989640787243843,94.875,7,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
12,0.004073570016771555,0.04989640787243843,94.875,8,-0.6497553167431609,1.01018378401292e-16,0.004073570016771555,0.04989640787243843,0.25,0.06,0.125,9.0,6e-06,1.2,2e-05,1.0,SAC205,SAC105
489,0.003654878120869398,0.054586805403232574,45.625,9,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
44,0.003654878120869398,0.054586805403232574,45.625,10,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
467,0.003654878120869398,0.054586805403232574,45.625,11,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
471,0.003654878120869398,0.054586805403232574,45.625,12,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
455,0.003654878120869398,0.054586805403232574,45.625,13,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
109,0.003654878120869398,0.054586805403232574,45.625,14,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
440,0.003654878120869398,0.054586805403232574,45.625,15,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
438,0.003654878120869398,0.054586805403232574,45.625,16,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
439,0.003654878120869398,0.054586805403232574,45.625,17,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
54,0.003654878120869398,0.054586805403232574,45.625,18,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
442,0.003654878120869398,0.054586805403232574,45.625,19,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
56,0.003654878120869398,0.054586805403232574,45.625,20,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
81,0.003654878120869398,0.054586805403232574,45.625,21,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
151,0.003654878120869398,0.054586805403232574,45.625,22,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
147,0.003654878120869398,0.054586805403232574,45.625,23,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
407,0.003654878120869398,0.054586805403232574,45.625,24,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
175,0.003654878120869398,0.054586805403232574,45.625,25,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
183,0.003654878120869398,0.054586805403232574,45.625,26,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
182,0.003654878120869398,0.054586805403232574,45.625,27,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
461,0.003654878120869398,0.054586805403232574,45.625,28,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
401,0.003654878120869398,0.054586805403232574,45.625,29,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
180,0.003654878120869398,0.054586805403232574,45.625,30,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
178,0.003654878120869398,0.054586805403232574,45.625,31,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
142,0.003654878120869398,0.054586805403232574,45.625,32,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
190,0.003654878120869398,0.054586805403232574,45.625,33,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
443,0.003654878120869398,0.054586805403232574,45.625,34,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
100,0.003654878120869398,0.054586805403232574,45.625,35,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
80,0.003654878120869398,0.054586805403232574,45.625,36,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
176,0.003654878120869398,0.054586805403232574,45.625,37,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
288,0.003654878120869398,0.054586805403232574,45.625,38,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
317,0.003654878120869398,0.054586805403232574,45.625,39,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
299,0.003654878120869398,0.054586805403232574,45.625,40,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
232,0.003654878120869398,0.054586805403232574,45.625,41,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
249,0.003654878120869398,0.054586805403232574,45.625,42,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
262,0.003654878120869398,0.054586805403232574,45.625,43,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
