Target,Model,R2_train,R2_test,MSE_train,MSE_test
DeltaW_BGA,RF,0.4534348521824332,0.2926602542581933,0.000971733734665708,0.0013051102819715218
DeltaW_BGA,XGB,0.9865882774325451,-0.11230145349940646,2.3844592562867583e-05,0.0020523038219654
DeltaW_bump,RF,0.6547282857252053,0.6208568375673917,0.014156318416679695,0.01117845250210717
DeltaW_bump,XGB,0.8008212000027141,0.577390934524826,0.008166433559540436,0.01245997774314031
ELK stress,RF,0.9919517101986024,0.8941666031535168,0.03838363316375604,0.515224081329114
ELK stress,XGB,0.9972581936577578,0.96492401475841,0.01307613063689724,0.1707588796287633
Warpage Post UF cure,RF,0.9949554156528999,0.9498866677285203,1.7686347399517042e-06,1.4888731764565969e-05
Warpage Post UF cure,XGB,0.9924580478150311,0.9750793804799919,2.6442136207036962e-06,7.403946267835213e-06
Warpage post lid atach,RF,0.3226608690071694,0.1941546175983665,0.0011241759709772598,0.002015426932133588
Warpage post lid atach,XGB,0.49127880885256525,0.09864363672926912,0.0008443217183932769,0.0022543007997040485
