Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,Obj_ELK_stress_x,Obj_Warpage_Post_UF_cure_x,Obj_Warpage_post_lid_atach_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Obj_ELK_stress_y,Obj_Warpage_Post_UF_cure_y,Obj_Warpage_post_lid_atach_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
39,0.01185275986790657,0.0,9.251087188720703,-0.036542922258377075,0.1030927449464798,211.9000000000001,1,0.28739653848578905,0.36053590781103384,0.01185275986790657,0.0,9.251087188720703,-0.036542922258377075,0.1030927449464798,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC405
33,0.01185275986790657,0.0,9.251087188720703,-0.036542922258377075,0.1030927449464798,211.9000000000001,2,0.28739653848578905,0.36053590781103384,0.01185275986790657,0.0,9.251087188720703,-0.036542922258377075,0.1030927449464798,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC405
364,0.01185275986790657,0.0,9.535415649414062,-0.037182293832302094,0.07796093076467514,192.64999999999992,3,0.30694507185505315,0.2313539563347494,0.01185275986790657,0.0,9.535415649414062,-0.037182293832302094,0.07796093076467514,0.25,0.06,0.125,9.0,2.0,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC405
474,0.012268462218344212,0.01309508178383112,8.878732681274414,-0.03458907827734947,0.0705590695142746,177.09999999999997,4,0.2706438068107083,0.21987291264310782,0.012268462218344212,0.01309508178383112,8.878732681274414,-0.03458907827734947,0.0705590695142746,0.5,0.06,0.125,3.0,1.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
311,0.012268462218344212,0.01309508178383112,8.878732681274414,-0.03458907827734947,0.0705590695142746,177.09999999999997,5,0.2706438068107083,0.21987291264310782,0.012268462218344212,0.01309508178383112,8.878732681274414,-0.03458907827734947,0.0705590695142746,0.5,0.06,0.125,3.0,1.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
27,0.004073570016771555,0.04989640787243843,9.151528358459473,-0.030001681298017502,0.10036422312259674,173.1999999999994,6,0.3958250108060135,0.31756846827786256,0.004073570016771555,0.04989640787243843,9.151528358459473,-0.030001681298017502,0.10036422312259674,0.25,0.06,0.125,9.0,1.0,6e-06,1.2,2e-05,1.0,SAC205,SAC405,SAC105
152,0.00598521763458848,0.034227050840854645,9.259782791137695,-0.036553870886564255,0.08783720433712006,168.05000000000004,7,0.34057264380746144,0.2421036070497957,0.00598521763458848,0.034227050840854645,9.259782791137695,-0.036553870886564255,0.08783720433712006,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2.5e-05,1.5,SAC305,SAC405,SAC305
389,0.012268462218344212,0.01309508178383112,9.109525680541992,-0.03487209230661392,0.06075918674468994,164.89999999999995,8,0.286545204308492,0.1733287746404607,0.012268462218344212,0.01309508178383112,9.109525680541992,-0.03487209230661392,0.06075918674468994,0.5,0.06,0.125,3.0,2.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
139,0.012268462218344212,0.01309508178383112,8.988758087158203,-0.035118211060762405,0.06151993200182915,163.35000000000005,9,0.27646373522617956,0.17850998438079815,0.012268462218344212,0.01309508178383112,8.988758087158203,-0.035118211060762405,0.06151993200182915,0.5,0.06,0.125,3.0,1.5,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
115,0.004896963015198708,0.06408639997243881,9.255332946777344,-0.03692519664764404,0.07928875833749771,160.7999999999997,10,0.34660705649881673,0.18085115098555135,0.004896963015198708,0.06408639997243881,9.255332946777344,-0.03692519664764404,0.07928875833749771,0.25,0.06,0.125,9.0,1.5,3e-06,0.8,2.5e-05,1.0,SAC305,SAC405,SAC405
