Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.25,0.06,1.2,9e-06,2e-05,9,1.0,SAC305,SAC205,0.10263793915510203,0.0014623069728259006
0.125,0.25,0.02,1.2,6e-06,2e-05,9,1.0,SAC405,SAC205,0.23771640410025902,0.0141814530361444
0.125,0.5,0.04,0.8,3e-06,2e-05,9,2.0,SAC305,SAC205,0.33918127417564403,0.0858888849616043
0.125,0.5,0.06,0.4,3e-06,3e-05,6,1.0,SAC305,SAC405,0.28096111118793493,0.0019535019346221807
0.125,0.25,0.04,1.2,9e-06,3e-05,9,1.0,SAC205,SAC405,0.46158027648925803,0.011556263314560004
0.125,0.75,0.02,0.4,9e-06,3e-05,6,2.0,SAC105,SAC305,0.854602307081216,0.0010345463524572495
0.125,0.75,0.04,0.8,6e-06,3e-05,3,2.0,SAC305,SAC205,0.678340256214134,0.09195914119482029
0.125,0.75,0.04,1.2,6e-06,2.5e-05,9,1.0,SAC105,SAC305,0.244348213076591,0.0045508184994105996
0.125,0.25,0.02,0.8,6e-06,2e-05,9,1.5,SAC405,SAC305,0.305632943908374,0.005894678295589999
0.125,0.25,0.04,0.4,6e-06,2.5e-05,3,1.0,SAC305,SAC105,0.31267333775758704,0.004692542141128729
0.125,0.25,0.06,0.8,3e-06,2e-05,3,1.5,SAC205,SAC405,0.06107587367296301,0.014325906464364296
0.125,0.5,0.02,1.2,3e-06,3e-05,9,2.0,SAC205,SAC405,0.58718907833099,0.094348416663706
0.125,0.75,0.02,0.4,3e-06,3e-05,6,1.0,SAC405,SAC105,0.521414101123801,0.0192988515773323
0.125,0.25,0.06,1.2,3e-06,3e-05,9,1.0,SAC205,SAC405,0.14818073809146898,0.026044458732940305
0.125,0.25,0.06,0.8,6e-06,2e-05,9,1.5,SAC105,SAC205,0.138847600668669,0.008193607704015398
0.125,0.5,0.06,1.2,9e-06,2.5e-05,6,2.0,SAC205,SAC405,0.29986245930194805,0.011787708848714797
0.125,0.25,0.04,1.2,6e-06,3e-05,9,1.5,SAC305,SAC405,0.407129645347595,0.0415241420269013
0.125,0.25,0.06,1.2,9e-06,2e-05,6,1.0,SAC105,SAC305,0.16251440346240997,0.0015049606972752406
0.125,0.25,0.06,1.2,6e-06,2e-05,6,1.5,SAC205,SAC205,0.10395647957921003,0.026624455116689302
0.125,0.5,0.06,0.8,6e-06,3e-05,9,1.5,SAC405,SAC305,0.286538980901241,0.0058292362082284
0.125,0.5,0.06,1.2,3e-06,2e-05,6,1.5,SAC105,SAC105,0.072218134999275,0.0661683278158306
0.125,0.75,0.06,0.8,6e-06,2.5e-05,3,1.0,SAC205,SAC105,0.424785427749157,0.20301967393606898
0.125,0.5,0.02,0.8,3e-06,2e-05,9,2.0,SAC305,SAC105,0.291604230801265,0.06553705316036929
0.125,0.25,0.04,0.8,6e-06,2.5e-05,6,1.5,SAC305,SAC205,0.18366419523954397,0.006020678731147169
0.125,0.75,0.02,0.8,3e-06,3e-05,3,1.5,SAC405,SAC305,0.322993149360021,0.019290451222332198
0.125,0.5,0.04,0.8,3e-06,2e-05,3,1.0,SAC405,SAC405,0.23726508766412702,0.093144722282887
0.125,0.25,0.04,0.8,9e-06,2.5e-05,6,1.0,SAC405,SAC105,0.291906453669072,0.008068815368460502
0.125,0.5,0.02,0.4,3e-06,2.5e-05,3,1.5,SAC205,SAC205,0.958663851022713,0.12534990860149298
0.125,0.25,0.02,1.2,6e-06,3e-05,9,1.5,SAC105,SAC405,0.38466518372297304,0.007217755541205401
0.125,0.25,0.04,0.4,6e-06,2e-05,9,1.0,SAC405,SAC205,0.18430115655064602,0.007766116308630361
0.125,0.25,0.02,0.4,6e-06,2e-05,9,1.5,SAC205,SAC205,0.37969701985518195,0.0250677076401189
0.125,0.5,0.06,0.8,9e-06,3e-05,3,1.5,SAC105,SAC405,0.3269353508949279,0.0017877579957712407
0.125,0.75,0.06,1.2,6e-06,3e-05,9,1.5,SAC305,SAC105,0.242907255887985,0.0222725190687924
0.125,0.25,0.06,0.4,9e-06,3e-05,3,1.5,SAC305,SAC205,0.373572148382664,0.0022696272062603393
0.125,0.5,0.06,0.8,9e-06,3e-05,3,1.5,SAC105,SAC405,0.332309007644654,0.00104785947587515
0.125,0.5,0.06,0.4,3e-06,3e-05,3,2.0,SAC405,SAC205,0.35063012689352,0.0246358404983767
0.125,0.5,0.04,0.4,9e-06,2.5e-05,9,2.0,SAC205,SAC105,0.356127806007862,0.018677638756344102
0.125,0.25,0.06,0.4,3e-06,2e-05,3,1.0,SAC105,SAC305,0.0875957570970057,0.0137383606925141
0.125,0.75,0.06,1.2,9e-06,2.5e-05,6,1.0,SAC105,SAC205,0.37749635428190204,0.053926094435155
0.125,0.25,0.04,0.8,6e-06,2.5e-05,3,1.5,SAC205,SAC305,0.519148103892801,0.09489513933658601
0.125,0.5,0.06,0.4,3e-06,2.5e-05,3,1.5,SAC405,SAC305,0.22118902578949995,0.0132441730820574
0.125,0.25,0.02,0.8,6e-06,2e-05,9,2.0,SAC305,SAC305,0.322963034113248,0.0028947733226231797
0.125,0.75,0.06,0.8,6e-06,2.5e-05,9,2.0,SAC405,SAC405,0.310776174068451,0.0192754894960671
0.125,0.25,0.06,0.8,6e-06,3e-05,9,2.0,SAC405,SAC305,0.325251206755638,0.0205587215023115
0.125,0.25,0.04,0.4,3e-06,2.5e-05,6,2.0,SAC305,SAC105,0.197957959026098,0.1256461404263969
0.125,0.75,0.04,0.4,9e-06,2.5e-05,3,2.0,SAC405,SAC305,0.40072803944349294,0.0033225591760128598
0.125,0.5,0.04,0.8,9e-06,2e-05,3,2.0,SAC205,SAC405,0.33354136347770696,0.0076868228788953
0.125,0.75,0.04,0.4,3e-06,2e-05,3,2.0,SAC105,SAC205,0.247808743268251,0.0213879714719951
0.125,0.5,0.02,1.2,6e-06,2e-05,6,2.0,SAC305,SAC105,0.4801819622516631,0.09956167731434042
0.125,0.5,0.02,0.8,3e-06,2e-05,9,1.0,SAC405,SAC105,0.23632010817527793,0.028983228141442
0.125,0.25,0.06,0.8,3e-06,2.5e-05,6,1.0,SAC305,SAC405,0.10860165208578101,0.016765377309639003
0.125,0.5,0.06,0.4,9e-06,3e-05,3,2.0,SAC205,SAC405,0.379960551857948,0.0010835458684823598
0.125,0.75,0.04,1.2,3e-06,2.5e-05,6,2.0,SAC105,SAC105,0.204542804509402,0.12975622899830297
0.125,0.5,0.04,0.4,9e-06,2e-05,3,1.0,SAC105,SAC405,0.295155182480812,0.00081732826171788
0.125,0.5,0.06,1.2,6e-06,2.5e-05,3,2.0,SAC405,SAC205,0.18983848020434402,0.025354446377605196
