Design_ID,Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,BGA solder material,DeltaW_BGA,DeltaW_bump
1,0.125,0.5,0.04,0.8,3e-06,2.5e-05,9,2.0,SAC305,9.60209020417707,-0.0343337792728561,0.0241630570089909,SAC305,0.2077317386865609,0.0130038737552239
2,0.125,0.75,0.04,0.8,6e-06,2e-05,6,1.0,SAC105,6.40905193695864,-0.0364463467558379,0.1265326850116251,SAC405,0.38733521848917,0.0519012510776512
3,0.125,0.75,0.06,1.2,6e-06,2e-05,6,1.0,SAC205,6.65387142536616,-0.0265828442643395,0.045495583617594,SAC305,0.112222012132406,0.0042641666077542
4,0.125,0.25,0.02,1.2,6e-06,3e-05,9,2.0,SAC305,10.3784099547726,-0.0297718013753182,0.0306291384622454,SAC105,0.352454945445061,0.0164184437599033
5,0.125,0.5,0.06,1.2,6e-06,3e-05,6,1.5,SAC205,6.77049137730778,-0.0270825293846427,0.0531367585062979,SAC405,0.273562170565128,0.0093427423853427
6,0.125,0.25,0.06,1.2,9e-06,2.5e-05,6,1.5,SAC205,6.55627645163626,-0.0312587187218013,0.0163385156192816,SAC105,0.2357711344957349,0.0063180938195728
7,0.125,0.5,0.02,1.2,6e-06,2e-05,3,1.0,SAC205,9.66869796734439,-0.0274829744594171,0.0399787563364952,SAC405,0.325030013918877,0.0080433097900823
8,0.125,0.25,0.06,0.4,9e-06,3e-05,9,2.0,SAC205,5.97948954768001,-0.0776757185376481,0.0675592944025993,SAC105,0.3610979095101359,0.0017159688395622
9,0.125,0.25,0.06,0.4,3e-06,2e-05,9,1.5,SAC205,5.49336872592806,-0.0707857446395791,0.032762353424914,SAC405,0.1399480812251559,0.00373000233958
10,0.125,0.75,0.04,0.8,6e-06,2e-05,6,1.0,SAC105,6.40904908831602,-0.0363274255942087,0.0439967792481183,SAC405,0.38733521848917,0.0519012510776512
11,0.125,0.75,0.04,0.4,6e-06,2e-05,6,2.0,SAC305,11.4064343122902,-0.0596561908605508,0.0886199213564395,SAC405,0.2328833043575289,0.0036484093725448
12,0.125,0.25,0.04,0.8,9e-06,2e-05,6,1.5,SAC205,7.99552911408806,-0.0510512107575777,0.0337153593136462,SAC105,0.284586802124977,0.0107952202961314
