Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thicknes,Bump solder material
0.125,0.25,0.06,0.4,9e-06,2.5e-05,9,2.0,SAC205
0.125,0.25,0.02,0.4,6e-06,3e-05,9,2.0,SAC305
0.125,0.75,0.02,1.2,6e-06,2.5e-05,6,1.0,SAC305
0.125,0.5,0.02,0.4,3e-06,3e-05,3,1.0,SAC305
0.125,0.5,0.06,0.8,6e-06,2.5e-05,9,2.0,SAC205
0.125,0.25,0.06,1.2,9e-06,2e-05,9,1.5,SAC305
0.125,0.5,0.06,1.2,9e-06,3e-05,6,2.0,SAC105
0.125,0.75,0.02,1.2,9e-06,3e-05,6,2.0,SAC305
0.125,0.5,0.06,1.2,9e-06,2.5e-05,3,1.5,SAC405
0.125,0.75,0.04,0.4,9e-06,3e-05,6,1.5,SAC305
0.125,0.25,0.06,0.8,3e-06,3e-05,9,2.0,SAC205
0.125,0.5,0.04,0.4,9e-06,2.5e-05,3,2.0,SAC205
0.125,0.5,0.02,1.2,3e-06,2e-05,9,2.0,SAC305
0.125,0.5,0.02,0.4,9e-06,2e-05,3,1.5,SAC205
0.125,0.75,0.02,0.4,6e-06,2.5e-05,6,1.0,SAC105
0.125,0.75,0.04,0.4,3e-06,2.5e-05,9,2.0,SAC105
0.125,0.5,0.06,1.2,9e-06,2.5e-05,9,2.0,SAC405
0.125,0.5,0.06,0.4,3e-06,3e-05,9,1.5,SAC405
0.125,0.5,0.02,0.4,6e-06,2.5e-05,6,1.5,SAC105
0.125,0.5,0.06,0.4,9e-06,2e-05,6,1.0,SAC105
0.125,0.75,0.06,0.8,6e-06,2e-05,3,1.0,SAC205
0.125,0.25,0.04,0.4,3e-06,2.5e-05,6,2.0,SAC105
0.125,0.25,0.04,0.8,3e-06,2e-05,9,1.5,SAC105
0.125,0.25,0.04,1.2,3e-06,2e-05,9,1.5,SAC105
0.125,0.75,0.02,1.2,9e-06,2.5e-05,6,1.0,SAC205
0.125,0.25,0.06,0.4,9e-06,2.5e-05,3,1.0,SAC305
0.125,0.75,0.02,1.2,3e-06,2e-05,9,1.5,SAC405
0.125,0.5,0.02,0.4,3e-06,3e-05,9,1.0,SAC105
0.125,0.75,0.02,1.2,9e-06,2e-05,6,2.0,SAC405
0.125,0.5,0.06,0.8,3e-06,3e-05,9,1.0,SAC405
0.125,0.25,0.02,0.8,6e-06,2.5e-05,3,2.0,SAC405
0.125,0.25,0.02,0.8,9e-06,3e-05,6,1.0,SAC105
0.125,0.5,0.06,0.8,6e-06,3e-05,3,1.5,SAC105
0.125,0.75,0.02,0.4,6e-06,2e-05,3,1.5,SAC105
0.125,0.75,0.04,0.8,3e-06,2.5e-05,9,1.5,SAC105
0.125,0.25,0.06,0.8,6e-06,3e-05,6,2.0,SAC205
0.125,0.75,0.04,1.2,6e-06,3e-05,3,2.0,SAC105
0.125,0.25,0.04,0.4,9e-06,2e-05,3,2.0,SAC305
0.125,0.25,0.04,0.8,3e-06,2e-05,3,2.0,SAC305
0.125,0.25,0.06,0.8,9e-06,3e-05,3,2.0,SAC405
0.125,0.25,0.02,1.2,3e-06,2e-05,3,1.0,SAC405
0.125,0.75,0.02,0.4,3e-06,3e-05,3,1.5,SAC305
0.125,0.5,0.06,0.8,3e-06,3e-05,9,1.0,SAC405
0.125,0.5,0.06,0.8,3e-06,2.5e-05,3,1.0,SAC205
0.125,0.5,0.02,0.8,3e-06,2.5e-05,3,1.5,SAC205
0.125,0.5,0.04,1.2,3e-06,3e-05,3,2.0,SAC405
0.125,0.5,0.04,0.4,3e-06,2.5e-05,9,1.5,SAC105
0.125,0.75,0.06,1.2,3e-06,2e-05,9,1.0,SAC205
0.125,0.25,0.02,1.2,6e-06,2.5e-05,6,2.0,SAC305
0.125,0.25,0.04,1.2,6e-06,2.5e-05,9,1.5,SAC105
0.125,0.25,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC405
0.125,0.75,0.02,0.8,9e-06,2.5e-05,6,1.0,SAC105
0.125,0.5,0.06,1.2,6e-06,3e-05,9,1.5,SAC305
0.125,0.5,0.04,0.4,3e-06,3e-05,3,1.5,SAC105
0.125,0.5,0.02,0.4,9e-06,3e-05,9,1.5,SAC405
0.125,0.5,0.04,0.8,3e-06,2.5e-05,9,2.0,SAC305
0.125,0.25,0.04,0.8,3e-06,2e-05,3,2.0,SAC405
0.125,0.25,0.04,0.4,6e-06,2.5e-05,3,1.5,SAC305
0.125,0.75,0.04,1.2,9e-06,2e-05,6,1.0,SAC205
0.125,0.5,0.02,1.2,9e-06,3e-05,3,1.0,SAC305
0.125,0.75,0.02,0.8,3e-06,2e-05,9,2.0,SAC405
0.125,0.25,0.06,0.8,9e-06,3e-05,3,2.0,SAC205
0.125,0.75,0.02,0.8,3e-06,2e-05,3,1.0,SAC105
0.125,0.5,0.02,0.4,3e-06,3e-05,6,2.0,SAC405
0.125,0.75,0.06,0.8,3e-06,2.5e-05,6,2.0,SAC105
0.125,0.25,0.02,1.2,6e-06,2.5e-05,3,1.0,SAC405
0.125,0.75,0.04,0.4,3e-06,3e-05,3,2.0,SAC405
0.125,0.5,0.04,0.8,9e-06,3e-05,9,2.0,SAC305
0.125,0.75,0.04,0.8,9e-06,2e-05,3,2.0,SAC105
0.125,0.75,0.02,0.4,9e-06,2.5e-05,6,2.0,SAC105
0.125,0.75,0.04,0.8,6e-06,3e-05,6,1.0,SAC305
0.125,0.5,0.02,0.8,9e-06,3e-05,6,1.0,SAC205
0.125,0.75,0.04,0.8,3e-06,3e-05,9,1.0,SAC105
0.125,0.75,0.02,0.8,6e-06,2.5e-05,6,1.5,SAC305
0.125,0.75,0.06,0.4,6e-06,2.5e-05,6,1.5,SAC105
0.125,0.5,0.06,0.4,6e-06,2e-05,9,2.0,SAC205
0.125,0.5,0.06,0.8,9e-06,3e-05,3,1.5,SAC405
0.125,0.75,0.02,0.4,6e-06,2e-05,3,2.0,SAC105
0.125,0.25,0.04,0.8,9e-06,2e-05,3,1.0,SAC405
0.125,0.5,0.06,0.8,6e-06,2e-05,9,1.0,SAC105
0.125,0.5,0.02,0.8,3e-06,3e-05,6,1.5,SAC105
0.125,0.25,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC105
0.125,0.5,0.04,1.2,3e-06,3e-05,3,1.0,SAC105
0.125,0.75,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC305
0.125,0.25,0.04,1.2,3e-06,2e-05,3,1.0,SAC205
0.125,0.5,0.06,0.8,3e-06,2e-05,6,2.0,SAC405
0.125,0.25,0.04,1.2,3e-06,3e-05,6,1.0,SAC105
0.125,0.25,0.02,0.8,9e-06,2.5e-05,3,1.5,SAC305
0.125,0.5,0.02,0.8,3e-06,3e-05,3,1.5,SAC205
0.125,0.75,0.04,0.4,9e-06,3e-05,3,1.5,SAC205
0.125,0.5,0.06,0.4,9e-06,3e-05,6,1.5,SAC105
0.125,0.75,0.02,0.4,6e-06,2e-05,6,1.5,SAC105
0.125,0.75,0.06,1.2,6e-06,3e-05,3,1.5,SAC405
0.125,0.5,0.04,0.8,6e-06,3e-05,9,1.0,SAC305
0.125,0.5,0.04,1.2,3e-06,2e-05,3,1.5,SAC205
0.125,0.75,0.06,1.2,6e-06,3e-05,3,1.0,SAC205
0.125,0.25,0.04,0.4,6e-06,3e-05,6,1.5,SAC205
0.125,0.75,0.02,0.8,3e-06,3e-05,6,1.0,SAC405
0.125,0.25,0.06,1.2,3e-06,3e-05,9,1.5,SAC205
0.125,0.75,0.04,0.8,9e-06,2.5e-05,3,1.0,SAC305
0.125,0.25,0.02,1.2,9e-06,2e-05,9,1.5,SAC405
0.125,0.25,0.04,1.2,3e-06,2.5e-05,3,1.0,SAC305
0.125,0.75,0.04,0.4,6e-06,2e-05,3,1.0,SAC205
0.125,0.25,0.06,0.4,3e-06,2e-05,6,1.0,SAC205
0.125,0.5,0.06,0.8,6e-06,2e-05,9,1.5,SAC405
0.125,0.75,0.06,0.8,9e-06,2e-05,9,1.5,SAC105
0.125,0.5,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC305
0.125,0.25,0.02,0.4,6e-06,2.5e-05,3,2.0,SAC105
0.125,0.75,0.04,0.4,6e-06,2.5e-05,6,2.0,SAC405
0.125,0.25,0.04,1.2,6e-06,3e-05,3,1.0,SAC305
0.125,0.25,0.06,0.8,9e-06,3e-05,6,2.0,SAC305
0.125,0.25,0.02,0.4,9e-06,2e-05,9,1.0,SAC105
0.125,0.75,0.06,0.8,6e-06,2.5e-05,3,1.0,SAC305
0.125,0.5,0.02,0.8,9e-06,2e-05,9,1.0,SAC405
0.125,0.75,0.02,1.2,6e-06,3e-05,9,2.0,SAC305
0.125,0.5,0.02,1.2,3e-06,2.5e-05,6,1.0,SAC205
0.125,0.75,0.04,0.8,6e-06,2e-05,6,1.0,SAC105
0.125,0.75,0.02,0.8,9e-06,3e-05,9,1.5,SAC105
0.125,0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC405
0.125,0.75,0.04,1.2,6e-06,2.5e-05,9,2.0,SAC105
0.125,0.75,0.06,1.2,3e-06,2.5e-05,3,2.0,SAC305
0.125,0.75,0.02,1.2,6e-06,3e-05,6,2.0,SAC105
0.125,0.5,0.02,1.2,3e-06,3e-05,6,2.0,SAC305
0.125,0.75,0.06,1.2,9e-06,2e-05,6,1.5,SAC305
0.125,0.75,0.06,1.2,6e-06,2e-05,6,1.0,SAC205
0.125,0.25,0.02,1.2,6e-06,3e-05,9,2.0,SAC305
0.125,0.75,0.06,0.8,6e-06,2e-05,3,1.5,SAC205
0.125,0.5,0.06,0.4,9e-06,3e-05,6,1.0,SAC305
0.125,0.25,0.02,1.2,9e-06,2e-05,6,2.0,SAC405
0.125,0.5,0.06,1.2,6e-06,2e-05,9,1.5,SAC405
