Dataset,Target,Feature,Importance
Assembly,Warpage Post UF cure,Substrate core thickness,0.7841968459141659
Assembly,Warpage Post UF cure,"Substrate core (E, CTE)",0.09014201386249736
Assembly,Warpage Post UF cure,Bulk silicon thickness,0.06656593076381134
Assembly,Warpage Post UF cure,Bump solder material_SAC105,0.03221321211033695
Assembly,Warpage Post UF cure,Bump solder height,0.006918961669989564
Assembly,Warpage Post UF cure,Bump solder material_SAC405,0.005567468143004505
Assembly,Warpage Post UF cure,"UF (E, CTE)",0.004471595507888934
Assembly,Warpage Post UF cure,Lid foot width,0.004317116421987822
Assembly,Warpage Post UF cure,Lid thickness,0.0038438862328605866
Assembly,Warpage Post UF cure,Bump solder material_SAC205,0.0009827406302805328
Assembly,Warpage Post UF cure,Bump solder material_SAC305,0.0007802287431765248
