Dataset,Target,Feature,Importance
SJR,DeltaW_BGA,Bump solder height,0.39723519518767997
SJR,DeltaW_BGA,"UF (E, CTE)",0.17134172931240238
SJR,DeltaW_BGA,Substrate core thickness,0.08690564681282283
SJR,DeltaW_BGA,"Substrate core (E, CTE)",0.07784122139009213
SJR,DeltaW_BGA,Lid foot width,0.041985509385441294
SJR,DeltaW_BGA,Bulk silicon thickness,0.041433575905838634
SJR,DeltaW_BGA,Lid thickness,0.03807641449790672
SJR,DeltaW_BGA,Cu-pillar bump solder material_SAC305,0.029832383229817395
SJR,DeltaW_BGA,Cu-pillar bump solder material_SAC105,0.02757257198418934
SJR,DeltaW_BGA,BGA solder material_SAC305,0.019758848356179012
SJR,DeltaW_BGA,BGA solder material_SAC405,0.015724193135242343
SJR,DeltaW_BGA,BGA solder material_SAC105,0.015302259040086143
SJR,DeltaW_BGA,Cu-pillar bump solder material_SAC205,0.014001240110803682
SJR,DeltaW_BGA,Cu-pillar bump solder material_SAC405,0.012437721269328402
SJR,DeltaW_BGA,BGA solder material_SAC205,0.0105514903821698
