Dataset,Target,Feature,Importance
SJR,DeltaW_bump,"Substrate core (E, CTE)",0.16038023085921968
SJR,DeltaW_bump,Lid foot width,0.12244086149319569
SJR,DeltaW_bump,BGA solder material_SAC105,0.10169585901544363
SJR,DeltaW_bump,Substrate core thickness,0.10142614582377062
SJR,DeltaW_bump,Bulk silicon thickness,0.089019698015332
SJR,DeltaW_bump,Bump solder height,0.08822164420565765
SJR,DeltaW_bump,Lid thickness,0.08120195613667122
SJR,DeltaW_bump,"UF (E, CTE)",0.06966957597846084
SJR,DeltaW_bump,Cu-pillar bump solder material_SAC205,0.06627725268587593
SJR,DeltaW_bump,BGA solder material_SAC205,0.03940144228656067
SJR,DeltaW_bump,Cu-pillar bump solder material_SAC405,0.019354327632318712
SJR,DeltaW_bump,BGA solder material_SAC305,0.018599289997644618
SJR,DeltaW_bump,Cu-pillar bump solder material_SAC305,0.0183493492928392
SJR,DeltaW_bump,Cu-pillar bump solder material_SAC105,0.012099838690925105
SJR,DeltaW_bump,BGA solder material_SAC405,0.011862527886084584
