Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE
Assembly,ELK stress,Random Forest,0.9917605560780114,0.8902211176001434,0.0392952789697052,0.5344317154994773
Assembly,Warpage Post UF cure,Random Forest,0.9957911655994736,0.9527937051306063,1.475620234153452e-06,1.4025047428534406e-05
Assembly,Warpage post lid attach,Random Forest,0.8334436553044339,0.1566476820737594,0.0002764326346332,0.0021092321330429
SJR,DeltaW_BGA,Random Forest,0.9397143408328976,0.5703999210815569,0.0024717431282242,0.0126660970127475
SJR,DeltaW_bump,Random Forest,0.8688812561524014,0.3441951029708767,0.0002331149491555,0.0012100234989373
Assembly,ELK stress,XGBoost,0.9944316806672896,0.9767009889232352,0.0265562413729545,0.1134255531391065
Assembly,Warpage Post UF cure,XGBoost,0.993923747251887,0.9765526285346596,2.130338390558873e-06,6.966242484941878e-06
Assembly,Warpage post lid attach,XGBoost,0.7155411405052681,0.1411011945831589,0.0004721147796478,0.0021481140454704
SJR,DeltaW_BGA,XGBoost,0.9022095109700796,0.5558657781838663,0.0040094605019645,0.013094613842639
SJR,DeltaW_bump,XGBoost,0.8620951678899456,0.2917355632583527,0.0002451798803305,0.0013068164263509
