Target,Model,R2_train,R2_test,MSE_train,MSE_test
DeltaW_BGA,RF,0.8594101743428003,0.32883553711502134,0.0002499535085385122,0.0012383633843259484
DeltaW_BGA,XGB,0.984000600759099,0.07188907468852357,2.844520189193945e-05,0.0017124544728697535
DeltaW_bump,RF,0.9353144497886938,0.5775755889427574,0.0026521409310134737,0.012454533491879373
DeltaW_bump,XGB,0.9959411438097066,0.3643634754601086,0.00016641519783336587,0.018740764445242045
ELK stress,RF,0.9907709098851962,0.8946735582705354,0.044015066323824216,0.5127560939808494
ELK stress,XGB,0.9997734734274395,0.9844133412098153,0.0010803429147761689,0.0758798469618446
Warpage Post UF cure,RF,0.9949554156528999,0.9498866677285204,1.768634739951703e-06,1.488873176456596e-05
Warpage Post UF cure,XGB,0.9953856948490872,0.9660308078090499,1.617778557976503e-06,1.0092288176930497e-05
Warpage post lid atach,RF,0.8110714049930379,0.16947378657761558,0.0003135637334668756,0.0020771539242253143
Warpage post lid atach,XGB,0.9280211874904267,-0.12954167570093933,0.0001194628329299879,0.0028249944268345564
