Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,Obj_ELK_stress_x,Obj_Warpage_Post_UF_cure_x,Obj_Warpage_post_lid_atach_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Obj_ELK_stress_y,Obj_Warpage_Post_UF_cure_y,Obj_Warpage_post_lid_atach_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
116,0.009281991049647331,0.000768716970924288,9.345069885253906,-0.0362410806119442,0.16980943083763123,191.15000000000018,1,0.3074444486756366,0.29922474242176605,0.009281991049647331,0.000768716970924288,9.345069885253906,-0.0362410806119442,0.16980943083763123,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC305
59,0.009281991049647331,0.000768716970924288,9.345069885253906,-0.0362410806119442,0.16980943083763123,191.15000000000018,2,0.3074444486756366,0.29922474242176605,0.009281991049647331,0.000768716970924288,9.345069885253906,-0.0362410806119442,0.16980943083763123,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC305
22,0.006876442581415176,0.006365180015563965,9.520098686218262,-0.03487725928425789,0.1216125339269638,167.84999999999968,3,0.3379453350170932,0.20030021918059712,0.006876442581415176,0.006365180015563965,9.520098686218262,-0.03487725928425789,0.1216125339269638,0.25,0.06,0.125,6.0,2.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC305
149,0.006876442581415176,0.006365180015563965,9.520098686218262,-0.03487725928425789,0.1216125339269638,167.84999999999968,4,0.3379453350170932,0.20030021918059712,0.006876442581415176,0.006365180015563965,9.520098686218262,-0.03487725928425789,0.1216125339269638,0.25,0.06,0.125,6.0,2.0,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC305
78,0.0037568318657577038,0.027410369366407394,9.558377265930176,-0.03501364588737488,0.12750013172626495,163.2499999999997,5,0.35470627404954497,0.19525952318047887,0.0037568318657577038,0.027410369366407394,9.558377265930176,-0.03501364588737488,0.12750013172626495,0.25,0.06,0.125,6.0,1.5,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
10,0.0037568318657577038,0.027410369366407394,9.558377265930176,-0.03501364588737488,0.12750013172626495,163.2499999999997,6,0.35470627404954497,0.19525952318047887,0.0037568318657577038,0.027410369366407394,9.558377265930176,-0.03501364588737488,0.12750013172626495,0.25,0.06,0.125,6.0,1.5,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
86,0.008482541888952255,0.02323376014828682,9.454465866088867,-0.03705499693751335,0.0905303880572319,163.19999999999985,7,0.31354895856907966,0.13375269179730065,0.008482541888952255,0.02323376014828682,9.454465866088867,-0.03705499693751335,0.0905303880572319,0.25,0.06,0.125,9.0,1.5,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC405
76,0.024101655930280685,0.019132964313030243,4.8943047523498535,-0.021091403439641,0.2107924371957779,139.79999999999936,8,0.01758160993257648,0.5640874370403283,0.024101655930280685,0.019132964313030243,4.8943047523498535,-0.021091403439641,0.2107924371957779,0.5,0.06,0.125,9.0,1.0,3e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC405
6,0.026117855682969093,0.0,4.8943047523498535,-0.021091403439641,0.2107924371957779,138.9499999999994,9,0.006456984949077186,0.577727722822538,0.026117855682969093,0.0,4.8943047523498535,-0.021091403439641,0.2107924371957779,0.5,0.06,0.125,9.0,1.0,3e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC205
4,0.026117855682969093,0.0,4.8943047523498535,-0.021091403439641,0.2107924371957779,138.9499999999994,10,0.006456984949077186,0.577727722822538,0.026117855682969093,0.0,4.8943047523498535,-0.021091403439641,0.2107924371957779,0.5,0.06,0.125,9.0,1.0,3e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC205
21,0.0133739672601223,0.06770724058151245,8.216014862060547,-0.07165179401636124,0.16707563400268555,133.30000000000067,11,0.04366492382930493,0.14999975897127865,0.0133739672601223,0.06770724058151245,8.216014862060547,-0.07165179401636124,0.16707563400268555,0.25,0.06,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC305
156,0.0133739672601223,0.06770724058151245,8.216014862060547,-0.07165179401636124,0.16707563400268555,133.30000000000067,12,0.04366492382930493,0.14999975897127865,0.0133739672601223,0.06770724058151245,8.216014862060547,-0.07165179401636124,0.16707563400268555,0.25,0.06,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC305
46,0.026117855682969093,0.0,8.266768455505371,-0.02235642820596695,0.020864510908722878,127.69999999999993,13,0.23929410654190666,0.12765958218704115,0.026117855682969093,0.0,8.266768455505371,-0.02235642820596695,0.020864510908722878,0.5,0.06,0.125,9.0,2.0,3e-06,1.2,2e-05,1.0,SAC305,SAC305,SAC205
29,0.026117855682969093,0.0,8.266768455505371,-0.02235642820596695,0.020864510908722878,127.69999999999993,14,0.23929410654190666,0.12765958218704115,0.026117855682969093,0.0,8.266768455505371,-0.02235642820596695,0.020864510908722878,0.5,0.06,0.125,9.0,2.0,3e-06,1.2,2e-05,1.0,SAC305,SAC305,SAC205
385,0.025245368480682373,0.1482159048318863,8.35700511932373,-0.03566204383969307,-0.023794598877429962,125.79999999999981,15,0.1817758223796583,-0.06107615505656404,0.025245368480682373,0.1482159048318863,8.35700511932373,-0.03566204383969307,-0.023794598877429962,0.75,0.06,0.125,9.0,2.0,9e-06,1.2,2e-05,1.0,SAC305,SAC405,SAC205
